Library service,Library name,In use 2010,In use 2016,Type of library,Type of closed library,Closed,New building,Replace existing,Notes,Weekly hours open,Weekly hours staffed
East Riding of Yorkshire,Anlaby Library and Customer Service Centre at East Riding Leisure Haltemprice,no,yes,LAL,,,2014,Yes,"New building to replace old Analby library opened November 2014. Œ£50,000",189.0,189.0
East Riding of Yorkshire,Beverley,yes,yes,LAL,,,,,,398.5,398.5
East Riding of Yorkshire,Bridlington,yes,yes,LAL,,,,,,378.0,378.0
East Riding of Yorkshire,Bridlington North,yes,yes,LAL,,,,,,236.5,236.5
East Riding of Yorkshire,Brough Library and Customer Service Centre,yes,yes,LAL,,,,,,206.5,206.5
East Riding of Yorkshire,Cottingham,yes,yes,LAL,,,,,"Planned extension to combine library, Customer Service Centre and registrars. Temp accomodation required Nov 16 - March 17. >Œ£50k",122.2,122.2
East Riding of Yorkshire,Driffield Library & Customer Service Centre,yes,yes,LAL,,,,,"Extension to combine library, Customer Service Centre and registrars. Temp accomodation in 2015 for 12 months opened Jan 16 >Œ£50k",205.0,205.0
East Riding of Yorkshire,Flamborough,yes,yes,LAL,,,,,Refurbished 2015 <Œ£50k,31.0,31.0
East Riding of Yorkshire,Goole,yes,yes,LAL,,,,,Refurbished 2010/11 - couple of months in temp accomodation >Œ£50k,327.67,327.67
East Riding of Yorkshire,Hedon,yes,yes,LAL,,,,,"Planned extension to combine library, Customer Service Centre and registrars. Timescales to be confirmed temp accomodation will be required 17/18 >Œ£50k",95.25,95.25
East Riding of Yorkshire,Hessle Library and Customer Service Centre,yes,yes,LAL,,,,,"Extension to combine library, Customer Service Centre and registrars. Temp accomodation in 2013/14 for 12 months >Œ£50k",192.5,192.5
East Riding of Yorkshire,Hornsea,yes,yes,LAL,,,,,"Planned extension to combine library, Customer Service Centre and registrars. Timescales to be confirmed temp accomodation will be required 2017 >Œ£50k",129.0,129.0
East Riding of Yorkshire,Howden,yes,yes,LAL,,,,,Moving into refgurbished building Jan 2017 >Œ£50k,35.0,35.0
East Riding of Yorkshire,Leven,yes,yes,LAL,,,,,Refurbished 2015 <Œ£50k,13.0,13.0
East Riding of Yorkshire,Market Weighton Library and Customer Service Centre,yes,yes,LAL,,,,,,204.0,204.0
East Riding of Yorkshire,North Ferriby,yes,yes,LAL,,,,,,32.0,32.0
East Riding of Yorkshire,Pocklington,yes,yes,LAL,,,,,,218.5,218.5
East Riding of Yorkshire,Snaith,yes,yes,LAL,,,,,Refurbished 2015 <Œ£50k,31.0,31.0
East Riding of Yorkshire,South Cave,yes,yes,LAL,,,,,,33.0,33.0
East Riding of Yorkshire,Stamford Bridge,yes,yes,LAL,,,,,,33.0,33.0
East Riding of Yorkshire,Swanland,yes,yes,LAL,,,,,,35.0,35.0
East Riding of Yorkshire,Willerby,yes,yes,LAL,,,,,,59.0,59.0
East Riding of Yorkshire,Withernsea Library and Customer Service Centre,yes,yes,LAL,,,,,2013/14 library merged into adjoining Customer Service Centre - library in temp acc for 12 monthys. >Œ£50k,168.0,168.0
East Sussex,Battle Library,yes,yes,LAL,,,,,,40.0,40.0
East Sussex,Bexhill Library,yes,yes,LAL,,,,,,45.0,45.0
East Sussex,Crowborough Library,yes,yes,LAL,,,,,,49.0,49.0
East Sussex,Eastbourne Library,yes,yes,LAL,,,,,"Refurbishment work of approximately Œ£1m to modernise the Library and supporting facilities (for example, wiring)",51.5,51.5
East Sussex,Forest Row Library,yes,yes,LAL,,,,,,15.0,15.0
East Sussex,Hailsham Library,yes,yes,LAL,,,,,,42.5,42.5
East Sussex,Hampden Park Library,yes,yes,LAL,,,,,,32.5,32.5
East Sussex,Hastings Childrenäó»s Library,yes,yes,LAL,,,,,"From 7 Mar 2016, additionally the temporary site for the main Library.  Will close in March 2017 when the refurbished Library will re-open and all services will be provided from one building",45.5,45.5
East Sussex,Hastings Library,yes,yes,LAL,XLT,,,,Temporarily closed for refurb Feb 2016 to re-open Spring 2017. Relocated to Hastings Childrens Library,45.5,45.5
East Sussex,Heathfield Library,yes,yes,LAL,,,,,,30.5,30.5
East Sussex,Hollington Library,yes,yes,LAL,,,,,,30.0,30.0
East Sussex,Langney Library,yes,yes,LAL,,,,,,27.0,27.0
East Sussex,Lewes Library,yes,yes,LAL,,,,,,44.0,44.0
East Sussex,Mayfield Library,yes,yes,LAL,,,,,,12.0,12.0
East Sussex,Newhaven Library,Yes,No,,XLR,2015,,,Replaced by new building of Newhaven library,,
East Sussex,Newhaven Library,No,yes,LAL,,,2015,Yes,Replaced old building of Newhaven library,35.0,35.0
East Sussex,Northiam Village Library,no,No,CRL,,,,,,0.0,0.0
East Sussex,Ore Library,yes,yes,LAL,,,,,,26.0,26.0
East Sussex,Peacehaven Library,yes,yes,LAL,,,,,,37.5,37.5
East Sussex,Pevensey Bay Library,yes,yes,LAL,XLT,,,,"Temporarily closed between January 2015 and August 2016 due to flooding, has undergone refurbishment.",20.0,20.0
East Sussex,Polegate Library,yes,yes,LAL,,,,,,30.0,30.0
East Sussex,Ringmer Library,yes,yes,LAL,,,,,,9.0,9.0
East Sussex,Rye Library,yes,yes,LAL,,,,,,49.5,49.5
East Sussex,Seaford Library,yes,yes,LAL,,,2014,Yes,Building was demolished and a new libray and adult social care building was built. Former Library was on the same site.,45.0,45.0
East Sussex,Sedlescombe Village Library,No,No,CRL,,,,,,0.0,0.0
East Sussex,Uckfield Library,yes,yes,LAL,,,,,,44.5,44.5
East Sussex,Wadhurst Library,yes,yes,LAL,,,,,,12.5,12.5
East Sussex,Willingdon Library,yes,yes,LAL,,,,,,25.0,25.0
Enfield,Angel Raynham,yes,yes,LAL,,,,,,19.0,19.0
Enfield,Bowes Road,yes,yes,LAL,,,,,,25.0,25.0
Enfield,Bullsmoor,yes,yes,LAL,,,,,,23.0,23.0
Enfield,Edmonton Green,yes,yes,LAL,,,,,Planned closure for major refurbishment from Sep 2016 to Summer 2017,56.0,56.0
Enfield,Enfield Highway,yes,yes,LAL,,,,,Planned reconfiguration as shared space with partner organisation 2016,36.0,36.0
Enfield,Enfield Island Village,yes,yes,LAL,,,,,,20.0,20.0
Enfield,Enfield Town,yes,yes,LAL,,,,,,62.5,62.5
Enfield,Fore Street,yes,yes,LAL,,,,,,38.0,38.0
Enfield,John Jackson,yes,yes,CRL+,,,,,Reconfigured shared space with partner organisation 2016,48.0,48.0
Enfield,Millfield House,yes,yes,LAL,,,,,,44.0,44.0
Enfield,Oakwood,yes,yes,LAL,,,,,,53.5,53.5
Enfield,Ordnance Unity Centre,yes,yes,LAL,,,,,Major refurbishment of former Ordnance Road Library 2014,49.5,49.5
Enfield,Palmers Green,yes,yes,LAL,,,,,Major refurbishment 2015,49.5,49.5
Enfield,Ponders End,yes,yes,CRL+,,,,,Reconfigured shared space with partner organisation 2016,43.0,43.0
Enfield,Ridge Avenue,yes,yes,CRL+,,,,,Reconfigured shared space with partner organisation 2016,16.0,16.0
Enfield,Southgate Circus,yes,yes,LAL,,,,,Planned reconfiguration as shared space with partner organisation 2016,47.5,47.5
Enfield,Winchmore Hill,yes,yes,LAL,,,,,Planned reconfiguration as shared space with partner organisation 2016,25.5,25.5
Essex,Basildon library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Billericay library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Braintree library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Brentwood library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Brightlingsea library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Broomfield library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Buckhurst Hill library,yes,yes,LAL,,,,,,22.0,22.0
Essex,Burnham-on-Crouch library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Canvey Island library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Chelmsford library,yes,yes,LAL,,,,,,59.0,59.0
Essex,Chigwell library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Chipping Ongar library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Clacton library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Coggeshall library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Colchester library,yes,yes,LAL,,,,,Refurbishment with cost funded by Colchester Borough Council,59.0,59.0
Essex,Danbury library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Debden library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Dunmow library,yes,yes,LAL,,,,,,50.0,50.0
Essex,Earls Colne library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Epping library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Frinton library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Fryerns library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Galleywood library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Great Baddow library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Great Parndon library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Great Tarpots library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Great Wakering library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Greenstead library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Hadleigh library,yes,yes,LAL,,,,,,42.0,42.0
Essex,Halstead library,yes,yes,LAL,,,,,,44.0,44.0
Essex,Harlow library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Harwich library,yes,yes,LAL,,,,,,42.0,42.0
Essex,Hatfield Peverel library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Hockley library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Holland library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Hullbridge library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Ingatestone library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Jaywick library,yes,yes,CRL,,,,,,0.0,0.0
Essex,Kelvedon library,yes,yes,LAL,,,,,,14.0,14.0
Essex,Laindon library,yes,yes,LAL,,,,,,41.0,41.0
Essex,Loughton library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Maldon library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Manningtree library,yes,yes,LAL,,,,,,31.5,31.5
Essex,Mark Hall library,yes,yes,LAL,,,,,,16.0,16.0
Essex,North Melbourne library,yes,yes,LAL,,,,,,24.0,24.0
Essex,North Weald library,yes,yes,LAL,,,,,,28.0,28.0
Essex,Old Harlow library,yes,yes,LAL,,,,,Temporarily closed from January 2016 to June 2016 due to fire damage.,24.0,24.0
Essex,Pitsea library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Prettygate library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Rayleigh library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Rochford library,yes,yes,LAL,,,,,,34.0,34.0
Essex,Saffron Walden library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Shenfield library,yes,yes,LAL,,,,,,42.0,42.0
Essex,Sible Hedingham library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Silver End library,yes,yes,LAL,,,,,,12.0,12.0
Essex,South Benfleet library,yes,yes,LAL,,,,,,34.0,34.0
Essex,South Woodham Ferrers library,yes,yes,LAL,,,,,,40.0,40.0
Essex,Southminster library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Springfield library,no,yes,CRL,,,2013,No,,0.0,0.0
Essex,Stansted library,yes,yes,LAL,,,,,Refurbishment from July 2016 but alternative provision provided,18.5,18.5
Essex,Stanway library,yes,yes,LAL,,,,,,16.0,16.0
Essex,Stock library,yes,yes,LAL,,,,,,14.0,14.0
Essex,Thaxted library,yes,yes,LAL,,,,,Refurbishment in 2015 and now reopened,25.5,25.5
Essex,Tiptree library,yes,yes,LAL,,,,,,21.0,21.0
Essex,Tye Green library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Vange library,yes,yes,LAL,,,,,,24.0,24.0
Essex,Waltham Abbey library,yes,yes,LAL,,,,,,44.0,44.0
Essex,Walton library,yes,yes,LAL,,,,,,16.0,16.0
Essex,West Clacton library,yes,yes,LAL,,,,,,38.0,38.0
Essex,West Mersea library,yes,yes,LAL,,,,,,23.0,23.0
Essex,Wickford library,yes,yes,LAL,,,,,,48.0,48.0
Essex,Wickham Bishops library,yes,yes,LAL,,,,,,12.0,12.0
Essex,Witham library,yes,yes,LAL,,,,,,58.0,58.0
Essex,Wivenhoe library,yes,yes,LAL,,,,,,19.0,19.0
Essex,Writtle library,yes,yes,LAL,,,,,,16.0,16.0
Gateshead,Birtley Library,yes,yes,LAL,,,,,,50.0,50.0
Gateshead,Blaydon Library,yes,yes,LAL,,,,,,50.0,50.0
Gateshead,Chopwell Library,yes,yes,LAL,,,Yes,Yes,"Replaced building at Derwent Street, Chopwell, NE17 7HZ",35.5,35.5
Gateshead,Crawcrook Library,yes,yes,LAL,,,,,,39.0,39.0
Gateshead,Dunston Library,yes,no,CRL,,,,,,42.0,42.0
Gateshead,Felling Library,yes,yes,LAL,,,Yes,Yes,"Replaced building at Tarlton Crescent, Felling, Gateshead, NE10 9HU",35.5,35.5
Gateshead,Gateshead Central Library,yes,yes,LAL,,,,,,52.0,52.0
Gateshead,Leam Lane Library,yes,yes,LAL,,,,,,50.0,50.0
Gateshead,Lobley Hill (book collection),yes,no,LAL-,,,,,This is a community book collection accessible 9-5 Monday to Friday. Books are borrowed on trust with no employee or volunteer involvement.,0.0,0.0
Gateshead,Low Fell,yes,no,CRL,,,,,,35.5,35.5
Gateshead,Pelaw Library,yes,yes,LAL,,,,,,39.0,39.0
Gateshead,Rowlands Gill Library,yes,yes,LAL,,,,,,39.0,39.0
Gateshead,Ryton,yes,no,CRL,,,,,,16.5,16.5
Gateshead,Sunderland Road,yes,no,CRL,,,,,,22.0,22.0
Gateshead,Whickham Library,yes,yes,LAL,,,,,,50.0,50.0
Gateshead,Winlaton,yes,no,CRL,,,,,,27.5,27.5
Gateshead,Wrekenton Library,yes,yes,CRL,,,Yes,Yes,"Replaced building at Ebchester Avenue, Wrekenton, Gateshead, NE9 7LP",31.5,31.5
Gloucestershire,Berkeley Community Library,yes,no,CRL,,,,,Opened November 2012 as a community library,15.0,15.0
Gloucestershire,Bishops Cleeve ,yes,yes,LAL,,,,,Will be closing for 2 week period w/c 3rd and 10th October 2016 for refurbishment and installation of open+ system.,40.0,40.0
Gloucestershire,Bourton on Water ,yes,yes,LAL,,,,,,15.0,15.0
Gloucestershire,Bream Community Library,yes,no,CRL,,,,,Opened December 2012 as a community library,14.0,14.0
Gloucestershire,Brockworth Community Library,yes,no,CRL,,,,,Opened November 2012 as a community library,24.0,24.0
Gloucestershire,Charlton Kings ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Cheltenham Local & Family History and Children's library,yes,yes,LAL,,,,,Part of Cheltenham Main library but operated from separate building,54.0,54.0
Gloucestershire,Cheltenham Main Library,yes,yes,LAL,,,,,,54.0,54.0
Gloucestershire,Chipping Campden ,yes,yes,LAL,,,,,,28.0,28.0
Gloucestershire,Churchdown ,yes,yes,LAL,,,,,,28.0,28.0
Gloucestershire,Cinderford ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Cirencester Bingham ,yes,yes,LAL,,,,,,44.0,44.0
Gloucestershire,Coleford ,yes,yes,LAL,,,,,,40.0,40.0
Gloucestershire,Dursley ,yes,yes,LAL,,,,,,44.0,44.0
Gloucestershire,Fairford ,yes,yes,LAL,,,,,,28.0,28.0
Gloucestershire,Gloucester ,yes,yes,LAL,,,,,,54.0,54.0
Gloucestershire,Hesters Way ,yes,yes,LAL,,,,,,21.0,21.0
Gloucestershire,Hucclecote ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Lechlade Community Library,yes,no,CRL,,,,,Opened November 2012 as a community library,23.0,23.0
Gloucestershire,Longlevens ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Lydney ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Matson ,yes,yes,LAL,,,,,,21.0,21.0
Gloucestershire,Minchinhampton community library,yes,no,CRL,,,,,Opened January 2013 as a community library,24.0,24.0
Gloucestershire,Mitcheldean Community Library,yes,no,CRL,,,,,Opened November 2012 as a community library,21.0,21.0
Gloucestershire,Moreton in Marsh ,yes,yes,LAL,,,,,,27.5,27.5
Gloucestershire,Nailsworth ,yes,yes,LAL,,,,,,22.0,22.0
Gloucestershire,Newent ,yes,yes,LAL,,,,,,40.0,40.0
Gloucestershire,Newnham Community library,yes,no,,XLR,2013,,,,0.0,0.0
Gloucestershire,Newnham Community library,no,no,CRL,,,2013,Yes,Opened January 2013 as a community library,10.5,10.5
Gloucestershire,Painswick Community Library,no,no,CRL,,,2012,No,Opened February 2012 as a community library,18.0,18.0
Gloucestershire,Prestbury ,yes,yes,LAL,,,,,,18.5,18.5
Gloucestershire,Quedgeley ,yes,yes,LAL,,,,,,35.0,35.0
Gloucestershire,Stonehouse,yes,yes,LAL,,,,,,12.0,12.0
Gloucestershire,Stow on Wold ,yes,yes,LAL,,,,,"Operates the Town Information Centre, opens extended hours on a Saturday during summer",41.0,41.0
Gloucestershire,Stroud ,yes,yes,LAL,,,,,,44.0,44.0
Gloucestershire,Tetbury ,yes,yes,LAL,,,,,,28.0,28.0
Gloucestershire,Tewkesbury ,yes,yes,LAL,,,,,,44.0,44.0
Gloucestershire,Tuffley ,yes,yes,LAL,,,,,,21.0,21.0
Gloucestershire,Up Hatherley ,yes,yes,LAL,,,,,Will be closing in October for refurbishment,35.0,35.0
Gloucestershire,Winchcombe ,yes,yes,LAL,,,,,,28.0,28.0
Gloucestershire,Wotton-Under-Edge,yes,yes,LAL,,,,,,22.0,22.0
Greenwich,Abbey Wood Library,yes,yes,CL,,,,,,29.0,29.0
Greenwich,Blackheath Library,yes,yes,CL,,,,,,52.5,52.5
Greenwich,Charlton Library,yes,yes,CL,,,,,,29.0,29.0
Greenwich,Coldharbour Library,yes,yes,CL,,,,,,26.0,26.0
Greenwich,East Greenwich Library,yes,no,,XLR,2015,,,Replaced by Greenwich Central Library,,
Greenwich,Eltham Centre Library,yes,yes,CL,,,,,,57.5,57.5
Greenwich,Ferrier Library,yes,no,,XL,2012,,,,,
Greenwich,Greenwich Centre Library,no,yes,CL,,,2015,Yes,Replaced East Greenwich Library,53.0,53.0
Greenwich,New Eltham Library,yes,yes,CL,,,,,,35.0,35.0
Greenwich,Plumstead Library,yes,yes,CL,,,,,,45.0,45.0
Greenwich,Slade Centre Library,yes,yes,CL,,,,,,29.0,29.0
Greenwich,Thamesmere Library,yes,yes,CL,,,,,Refurbished 2014,53.5,53.5
Greenwich,West Greenwich Library,yes,yes,CL,,,,,,35.0,35.0
Greenwich,Woolwich Library,yes,yes,CL,,,2011,Yes,Replaced Woolwich Library building in Calderwood Street,57.5,57.5
Hackney,Clapton Library,yes,yes,LAL,,,,,,50.0,50.0
Hackney,CLR James Library,yes,no,,XLR,2012,,,Replaced by Dalston CLR James Library,,
Hackney,Dalston CLR James Library,No,yes,LAL,,,2012,Yes,The new library replaced CLR James Library in 2012. The new library is over twice as large as the previous building,67.0,67.0
Hackney,Hackney Central Library,yes,yes,LAL,,,,,,61.0,61.0
Hackney,Homerton Library,yes,yes,LAL,,,,,,50.0,50.0
Hackney,Shoreditch Library,yes,yes,LAL,,,,,,55.0,55.0
Hackney,Stamford Hill Library,yes,yes,LAL,,,,,,65.0,65.0
Hackney,Stoke Newington Library,yes,yes,LAL,,,,,Extensive refurbishment in 2015,59.0,59.0
Hackney,Woodberry Down Library,yes,yes,LAL,,,,,,18.0,18.0
Halton,Ditton,yes,yes,LAL,,,,,,33.0,33.0
Halton,Halton Lea,yes,yes,LAL,,,,,,45.5,45.5
Halton,Runcorn,yes,yes,LAL,,,,,,33.0,33.0
Halton,Widnes,yes,yes,LAL,,,,,,45.5,45.5
Hammersmith and Fulham,Askew Road,yes,yes,LAL,,,,,,48.0,48.0
Hammersmith and Fulham,Avonmore library and neighbourhood centre,no,yes,LAL,,,2010,Yes,"Replaced the Barons Court library. This is a self service facility, run by volunteers",,
Hammersmith and Fulham,Barons Court Library,yes,no,,XLR,2010,,,replaced by the new Avonmore library,,
Hammersmith and Fulham,Fulham,yes,yes,LAL,,,,,,60.0,60.0
Hammersmith and Fulham,Hammersmith,yes,yes,LAL,,,,,,60.0,60.0
Hammersmith and Fulham,Hurlingham and Chelsea School and Community library,no,no,CRL,,,,,,63.0,63.0
Hammersmith and Fulham,Shepherds Bush,yes,yes,LAL,,,,,,,
Hampshire,Aldershot ,yes,yes,LAL,,,,,"Refurbishment plus RFID, closed 4 weeks June/July 2013",52.0,52.0
Hampshire,Alresford ,yes,yes,LAL,,,,,Roofing work October/November 2015,21.0,21.0
Hampshire,Alton ,yes,yes,LAL,,,,,"Refurbishment plus RFID, closed 7 weeks January - March 2014",45.0,45.0
Hampshire,Andover ,yes,yes,LAL,,,,,,54.0,54.0
Hampshire,Basingstoke Discovery Centre ,yes,yes,LAL,,,,,"Refurbishment into DC plus RFID, closed April - November 2010",58.0,58.0
Hampshire,Bishops Waltham,yes,yes,LAL,,,,,"Refurbishment plus Childrens's Centre, closed May to August 2010",22.5,22.5
Hampshire,Blackfield ,yes,yes,LAL,,,,,"Refurbishment, closed mid January to mid March 2011",17.5,17.5
Hampshire,Bordon ,yes,yes,LAL,,,,,"Refurbishment, closed February to April 2010",33.0,33.0
Hampshire,Bridgemary ,yes,yes,LAL,,,,,,22.0,22.0
Hampshire,Chandlers Ford ,yes,yes,LAL,,,,,"Children's Centre plus RFID, closed 6 weeks May - June 2010. New shelving, closed 2 weeks Mar 2014",51.0,51.0
Hampshire,Chineham ,yes,yes,LAL,,,,,"Refurbishment, closed mid February to 1st April 2013",38.5,38.5
Hampshire,Eastleigh ,yes,yes,LAL,,,,,"RFID and children's centre, closed April 2010",44.0,44.0
Hampshire,Elson ,yes,yes,LAL,,,,,Refurbishment - closed 2 weeks September 2012,31.5,31.5
Hampshire,Emsworth ,yes,yes,LAL,,,,,,35.0,35.0
Hampshire,Fair Oak ,yes,yes,LAL,,,,,,18.5,18.5
Hampshire,Fareham ,yes,yes,LAL,,,,,"RFID and learning suite, closed Jan 2012asbestos removal, closed 1 week Mar 2014",54.0,54.0
Hampshire,Farnborough ,yes,yes,LAL,,,,,"Community hub with Adult Services and Parkside. RFID, closed 7 weeks Jun/Jul",52.0,52.0
Hampshire,Fleet ,yes,yes,LAL,,,,,"Children's Centre and Community Room, closed 5 weeks Jun, Jul 2015",50.0,50.0
Hampshire,Fordingbridge ,yes,yes,LAL,,,,,,26.0,26.0
Hampshire,Gosport Discovery Centre ,yes,yes,LAL,,,,,"DC main building - new flooring on all floors except ground floor, Oct 2011refurbishment and RFID main bldg, closed Feb Mar 2013.",58.0,58.0
Hampshire,Gosport Naval and Local Studies ,yes,yes,LAL,,,,,Local Studies closed 2 weeks January for move of Naval Collection 2013,56.0,56.0
Hampshire,Grayshott,yes,no,,XL,2015,,,Replaced with mobile library stop from 1 January.  Work to remove library fittings and make good - January 2015,5.0,5.0
Hampshire,Havant ,yes,yes,LAL,,,,,RFID installed and related works - closed 2 weeks Septmeber 2013,43.0,43.0
Hampshire,Hayling Island ,yes,yes,LAL,,,,,,35.5,35.5
Hampshire,Hedge End ,yes,yes,LAL,,,,,"Refurbishment plus RFID, closed 3 weeks June/July 2012",43.5,43.5
Hampshire,Hordean ,yes,yes,LAL,,,,,,17.0,17.0
Hampshire,Hythe ,yes,yes,LAL,,,,,"Refurbishment plus RFID, closed 14 weeks October 2012 - January 2013",48.0,48.0
Hampshire,Kingsclere ,yes,yes,CRL,,,,,"Transferred to community from 1st April - prep work, mainly electrical April 2015",13.5,13.5
Hampshire,Lee-on-the-Solent ,yes,yes,LAL,,,,,,25.5,25.5
Hampshire,Leigh Park ,yes,yes,LAL,,,,,"Installation Police Community Office, closed 1 week March 2011. New flooring, closed 1.5 weeks March 2015",35.5,35.5
Hampshire,Liphook ,yes,yes,LAL,,,,,,18.5,18.5
Hampshire,Lockswood ,yes,yes,LAL,,,,,"Decoration, closed 1 week March 2011",35.5,35.5
Hampshire,Lowford Community ,No,yes,CRL,,,2015,No,,,
Hampshire,Lymington ,yes,yes,LAL,,,,,"Refurbishment plus RFID, community room, closed 8 weeks January/February 2014",52.0,52.0
Hampshire,Lyndhurst ,yes,yes,LAL,,,,,,17.5,17.5
Hampshire,Milford-on-Sea ,yes,yes,CRL,,,,,"Transferred to community from 1st April - prep work, mainly electrical April 2015",12.5,12.5
Hampshire,Netley ,yes,yes,LAL,,,,,,16.0,16.0
Hampshire,New Milton ,yes,yes,LAL,,,,,,38.0,38.0
Hampshire,North Baddesley Community ,yes,yes,CRL,,,,,,25.5,25.5
Hampshire,Odiham ,yes,yes,LAL,,,,,"Children's Centre plus RFID, closed November 2010 - March 2011. New carpet, closed 1 week March 2014",18.0,18.0
Hampshire,Overton ,yes,yes,LAL,,,,,"Children's Centre plus RFID, closed November 2010 - February 2011",12.5,12.5
Hampshire,Petersfield ,yes,yes,LAL,,,,,,52.0,52.0
Hampshire,Portchester ,yes,yes,LAL,,,,,"Refurbishment plus RFID, closed 10 weeks May - July 2013",35.5,35.5
Hampshire,Ringwood ,yes,yes,LAL,,,,,,38.0,38.0
Hampshire,Romsey ,yes,yes,LAL,,,,,"New flooring, closed 1 week January 2014",41.0,41.0
Hampshire,South Ham ,yes,yes,LAL,,,,,"Asbestos removal, closed January to mid April 2012RFID, community room, closed 3 weeks October 2013",26.0,26.0
Hampshire,Stanmore Community Library,yes,yes,CRL,,,,,,45.0,45.0
Hampshire,Stubbington ,yes,yes,LAL,,,,,,37.5,37.5
Hampshire,Tadley ,yes,yes,LAL,,,,,,42.0,42.0
Hampshire,Totton ,yes,yes,LAL,,,,,,41.0,41.0
Hampshire,Waterlooville ,yes,yes,LAL,,,,,,52.0,52.0
Hampshire,West End ,yes,yes,LAL,,,,,"Extesion/refurbishment plus RFID, closed 9 weeks September/November 2012",23.0,23.0
Hampshire,Whitchurch ,yes,yes,LAL,,,,,"Air conditioning added, closed 1 week April 2014",20.0,20.0
Hampshire,Winchester Discovery Centre ,yes,yes,LAL,,,,,"Conversion of workroom to quiet study area, new RFID, new flooring - closed 3 weeks May 2011",62.0,62.0
Hampshire,Yateley ,yes,yes,LAL,,,,,,33.0,33.0
Haringey,Alexandra Park Library,yes,yes,LAL,,,,,,56.0,56.0
Haringey,Coombes Croft Library,yes,yes,LAL,,,,,,52.0,52.0
Haringey,Highgate Library,yes,yes,LAL,,,,,,52.0,52.0
Haringey,Hornsey Library,yes,yes,LAL,,,,,,56.0,56.0
Haringey,Marcus Garvey Library,yes,yes,LAL,,,refurbished - opened July 2016,,Marcus Garvey Library closed for 9 months to be redesigned and refurbished (Œ£3m). Customers Service Centre was brought into the library and continues to be located in its original location.,56.0,56.0
Haringey,Muswell Hill Library,yes,yes,LAL,,,,,,52.0,52.0
Haringey,St Annäó»s Library,yes,yes,LAL,,,,,,52.0,52.0
Haringey,Stroud Green and Harringay Library,yes,yes,LAL,,,,,,52.0,52.0
Haringey,Wood Green Central Library and Customer Services,yes,yes,LAL,,,,,,56.0,56.0
Harrow,Bob Lawrence,yes,no,,XL,2015,,,,,
Harrow,Civic Centre,yes,no,,XL,2013,,,,,
Harrow,Gayton,yes,yes,CL,,,,,,,
Harrow,Hatch End,yes,no,,XL,2015,,,,,
Harrow,Kenton,yes,yes,CL,,,,,,,
Harrow,North Harrow,yes,no,,XL,2015,,,Due to re-open as an ICL,,
Harrow,Pinner,yes,yes,CL,,,,,,,
Harrow,Rayners Lane,yes,no,,XL,2015,,,,,
Harrow,Roxeth,yes,yes,CL,,,,,,,
Harrow,Stanmore,yes,yes,CL,,,,,Refurbishment in February to March 2016 - temporary closed for 5 weeks.,,
Harrow,Wealdstone,yes,yes,CL,,,,,,40.5,40.5
